Strain,Stress (MPa)
0.0299368,2.68691442
0.029970133,2.689116133
0.030003467,2.692090473
0.0300368,2.694452878
0.030070133,2.695725177
0.030103467,2.698489339
0.0301368,2.700220299
0.030170133,2.701823657
0.030203467,2.703531172
0.0302368,2.70548016
0.030270133,2.709445999
0.030303467,2.711142404
0.0303368,2.713065808
0.030370133,2.715181605
0.030403467,2.716789733
0.0304368,2.719183506
0.030470133,2.721192131
0.030503467,2.723601843
0.0305368,2.725827813
0.030570133,2.727243042
0.030603467,2.730525933
0.0306368,2.732415981
0.030670133,2.734913472
0.030703467,2.737209455
0.0307368,2.738458592
0.030770133,2.741075318
0.030803467,2.742330465
0.0308368,2.744532795
0.030870133,2.747102513
0.030903467,2.749022864
0.0309368,2.752428543
0.030970133,2.754045114
0.031003467,2.756107034
0.0310368,2.757791077
0.031070133,2.759685255
0.031103467,2.761607888
0.0311368,2.76450307
0.031170133,2.765562066
0.031203467,2.768365285
0.0312368,2.770547475
0.031270133,2.772867328
0.031303467,2.774326724
0.0313368,2.776319816
0.031370133,2.779061571
0.031403467,2.78120414
0.0314368,2.783751396
0.031470133,2.78465761
0.031503467,2.786777679
0.0315368,2.789298824
0.031570133,2.790518331
0.031603467,2.793787005
0.0316368,2.795599555
0.031670133,2.797181892
0.031703467,2.799889209
0.0317368,2.801266442
0.031770133,2.803905918
0.031803467,2.805786998
0.0318368,2.807430933
0.031870133,2.809921885
0.031903467,2.812743536
0.0319368,2.815403066
0.031970133,2.816418916
0.032003467,2.817746161
0.0320368,2.821005807
0.032070133,2.822369991
0.032103467,2.825431606
0.0321368,2.826416025
0.032170133,2.828461484
0.032203467,2.830553353
0.0322368,2.832817231
0.032270133,2.83641396
0.032303467,2.836565814
0.0323368,2.838835763
0.032370133,2.841194792
0.032403467,2.842750107
0.0324368,2.845820825
0.032470133,2.848836959
0.032503467,2.85065445
0.0325368,2.852431396
0.032570133,2.85363281
0.032603467,2.855940613
0.0326368,2.858591879
0.032670133,2.860272518
0.032703467,2.862827149
0.0327368,2.864000461
0.032770133,2.866143843
0.032803467,2.866951659
0.0328368,2.869687207
0.032870133,2.872928541
0.032903467,2.87483774
0.0329368,2.877416868
0.032970133,2.878891203
0.033003467,2.881175646
0.0330368,2.883172122
0.033070133,2.884249423
0.033103467,2.886018778
0.0331368,2.887762681
0.033170133,2.89014153
0.033203467,2.89283778
0.0332368,2.894382076
0.033270133,2.89805364
0.033303467,2.899421294
0.0333368,2.900607646
0.033370133,2.902909406
0.033403467,2.903862942
0.0334368,2.907535406
0.033470133,2.909481789
0.033503467,2.911518083
0.0335368,2.913341733
0.033570133,2.915022634
0.033603467,2.9175698
0.0336368,2.91867701
0.033670133,2.920763093
0.033703467,2.923349666
0.0337368,2.925189547
0.033770133,2.92720119
0.033803467,2.929025882
0.0338368,2.93033362
0.033870133,2.933450853
0.033903467,2.935169622
0.0339368,2.937252042
0.033970133,2.938963458
0.034003467,2.941097453
0.0340368,2.943878488
0.034070133,2.945330507
0.034103467,2.947335144
0.0341368,2.949511372
0.034170133,2.95160993
0.034203467,2.954150677
0.0342368,2.955993213
0.034270133,2.958236167
0.034303467,2.959865532
0.0343368,2.961699596
0.034370133,2.963344067
0.034403467,2.96496221
0.0344368,2.967154238
0.034470133,2.969133331
0.034503467,2.971423937
0.0345368,2.973817935
0.034570133,2.974848591
0.034603467,2.977461019
0.0346368,2.978954261
0.034670133,2.980810566
0.034703467,2.983616192
0.0347368,2.984841338
0.034770133,2.987392529
0.034803467,2.988415863
0.0348368,2.990000044
0.034870133,2.992750608
0.034903467,2.9938266
0.0349368,2.996894062
0.034970133,2.999111498
0.035003467,3.001165471
0.0350368,3.003159017
0.035070133,3.004958533
0.035103467,3.007303376
0.0351368,3.008206634
0.035170133,3.010182713
0.035203467,3.01289959
0.0352368,3.014671321
0.035270133,3.016878774
0.035303467,3.017946994
0.0353368,3.019450345
0.035370133,3.022125315
0.035403467,3.023786018
0.0354368,3.026656196
0.035470133,3.027637834
0.035503467,3.029735959
0.0355368,3.032708983
0.035570133,3.033747181
0.035603467,3.035556602
0.0356368,3.037596974
0.035670133,3.039233111
0.035703467,3.041372076
0.0357368,3.043082769
0.035770133,3.045720053
0.035803467,3.048257552
0.0358368,3.050003199
0.035870133,3.052231265
0.035903467,3.052945971
0.0359368,3.055225873
0.035970133,3.057541805
0.036003467,3.059752779
0.0360368,3.061465213
0.036070133,3.062654145
0.036103467,3.065458172
0.0361368,3.066720666
0.036170133,3.068634906
0.036203467,3.071431389
0.0362368,3.072476754
0.036270133,3.074724309
0.036303467,3.075810101
0.0363368,3.078215719
0.036370133,3.080455846
0.036403467,3.082261445
0.0364368,3.085065787
0.036470133,3.08712827
0.036503467,3.088162824
0.0365368,3.090754794
0.036570133,3.091980602
0.036603467,3.094850286
0.0366368,3.095765368
0.036670133,3.097850704
0.036703467,3.100242451
0.0367368,3.101422604
0.036770133,3.104108044
0.036803467,3.105565489
0.0368368,3.107248527
0.036870133,3.109907692
0.036903467,3.111345093
0.0369368,3.113685541
0.036970133,3.114798386
0.037003467,3.116729523
0.0370368,3.120208659
0.037070133,3.121468218
0.037103467,3.123687637
0.0371368,3.124811574
0.037170133,3.126063227
0.037203467,3.127907871
0.0372368,3.129678794
0.037270133,3.132455321
0.037303467,3.134317903
0.0373368,3.136322729
0.037370133,3.138371781
0.037403467,3.14004955
0.0374368,3.142559505
0.037470133,3.144140465
0.037503467,3.146218216
0.0375368,3.148191508
0.037570133,3.149186821
0.037603467,3.151102
0.0376368,3.153131882
0.037670133,3.154189422
0.037703467,3.157034791
0.0377368,3.15811752
0.037770133,3.161975024
0.037803467,3.163135693
0.0378368,3.164923763
0.037870133,3.167197861
0.037903467,3.168215161
0.0379368,3.170963679
0.037970133,3.172746824
0.038003467,3.173748111
0.0380368,3.175844789
0.038070133,3.176213491
0.038103467,3.179036902
0.0381368,3.181281352
0.038170133,3.18356071
0.038203467,3.185706009
0.0382368,3.186735491
0.038270133,3.188867818
0.038303467,3.189858677
0.0383368,3.192442229
0.038370133,3.195499428
0.038403467,3.196824921
0.0384368,3.198395597
0.038470133,3.199856815
0.038503467,3.20155731
0.0385368,3.203780156
0.038570133,3.20518591
0.038603467,3.208086708
0.0386368,3.209544003
